"username","date_of_birth","city_origin"
"nairay-7","1990-03-11","Makassar"
"SoumikBanerjee1996","1999-01-11","Padang"
"killercharm","2001-08-05","Jakarta"
"jorgesouza-22057","1984-07-23","Jakarta"
"biggiewatchmovies","2003-04-15","Malang"
"sol-","1987-01-04","Yogyakarta"
"fandi-75812","1991-11-11","Depok"
"simonronneberg-426-103405","1986-10-04","Makassar"
"queenvalbrient","1980-09-11","Malang"
"CaptainGimpy","1984-02-28","Medan"
"oniedarmawan","1985-09-03","Padang"
"spookyrat1","1977-10-05","Jakarta"
"bchr-846-518964","1983-05-22","Palembang"
"April-949","1982-07-16","Yogyakarta"
"seohyunbaby","1997-12-20","Bandung"
"ryan_sy","1993-05-08","Depok"
"jlsilverblue","1978-11-28","Depok"
"ashe6112","1997-01-16","Palembang"
"jasoncuff","1993-03-10","Yogyakarta"
"santaisajakawan","2003-02-17","Jakarta"
"olcayozfirat","1986-10-06","Jakarta"
"rainedfond","1989-09-02","Jakarta"
"abigailprasetya","1998-05-22","Medan"
"sorev-27884","1996-08-13","Bogor"
"ErinaF-57","1995-06-22","Bandung"
"MuhammadW-6216","1985-07-19","Makassar"
"4170123W","1981-11-23","Jakarta"
"SiK-058","1994-06-09","Pekanbaru"
"jer283","2006-08-13","Balikpapan"
"siaoboonwei","1999-10-02","Tangerang"
"iskandarraise","1997-04-20","Medan"
"denny_ajah","1982-10-11","Bandung"
"AbdulS-454","2004-12-24","Batam"
"IntanM-34","1980-12-09","Yogyakarta"
"sigits","1979-02-19","Semarang"
"ejmbandanna","1976-03-22","Pekanbaru"
"iamianiman","1986-10-24","Bekasi"
"maxwelllaible","1996-04-05","Makassar"
"ahnhyoseopanyeong","1980-04-28","Jakarta"
"abielgacho","2001-08-01","Jakarta"
"Mysterygeneration","1983-08-26","Denpasar"
"bernardusbernard","1979-04-21","Bogor"
"rpsp-10463","1975-11-28","Semarang"
"rafaelfardhan","1979-11-11","Surabaya"
"nadiranidyanti","1989-02-27","Batam"
"LeanL-98","1989-09-05","Surabaya"
"rahimnoryan","1985-06-18","Surabaya"
"JvH48","1975-12-26","Tangerang"
"atus-0","1988-01-03","Bandung"
"Saanwithhisstupidthoughts","2002-05-16","Solo"
"pasaribuharisfadli","1993-07-21","Yogyakarta"
"ptihhkram","2005-08-16","Medan"
"rambo78","1994-12-08","Makassar"
"zhudewa","1973-01-05","Batam"
"biruhati","1983-07-19","Pekanbaru"
"willymalik","1991-08-09","Medan"
"robin_goenawan","1976-01-01","Solo"
"CinemaClown","1969-10-26","Surabaya"
"ronaldocarey","1977-06-10","Bandung"
"fitripolystrand","1984-11-17","Depok"
"elvinmiradi","1990-06-24","Bekasi"
"jawneyfloros","1994-04-12","Batam"
"SilmaK-5","2006-06-05","Surabaya"
"ghatbkk","2002-09-14","Makassar"
"cobysotavego","1986-09-22","Depok"
"edgereviews","1992-08-07","Solo"
"akhidavid","1991-12-24","Medan"
"atractiveeyes","1999-12-03","Jakarta"
"vpmspy","1991-01-05","Malang"
"cosplayrewind","1982-04-14","Jakarta"
"Prismark10","1988-01-10","Tangerang"
"AudreyL-038","1991-08-07","Jakarta"
"kosmasp","1979-07-09","Palembang"
"tiefirst","1986-03-28","Surabaya"
"thestoryoflight","1992-08-01","Jakarta"
"govigov03","1987-07-01","Bekasi"
"Emtzzz","1988-05-28","Malang"
"wisnuhyudhanto","1995-03-14","Yogyakarta"
"alstoniasp","1986-06-14","Makassar"
"kannibalcorpsegrinder","1979-07-07","Malang"
"annsss21","1986-02-04","Bekasi"
"seriouscarol","1990-02-28","Padang"
"danielsiouffi","1973-09-10","Medan"
"Lavanyaj-7","2002-12-06","Palembang"
"W011y4m5","1999-07-26","Semarang"
"ingridfeier","2006-01-24","Makassar"
"citaernanda-97184","1984-04-06","Palembang"
"LiuL-3","2003-05-08","Tangerang"
"admin-06554","1988-11-11","Tangerang"
"RakeshA-69","1986-01-21","Jakarta"
"tikaputri_","1987-11-18","Malang"
"yu-85167","1984-04-17","Surabaya"
"Khaskhask","1985-08-10","Tangerang"
"Dwerzqiet","1980-04-02","Bekasi"
"ReptilRR","1987-07-17","Bandung"
"fitriyantoandi","2000-07-07","Makassar"
"EricW-082","2006-03-13","Medan"
"ersbel","1984-08-20","Pekanbaru"
"diffiyaninajwa","1984-03-28","Bekasi"
"derrick-dj","2002-05-11","Palembang"
"GreenG-454","2007-08-22","Bandung"
"blu_crumbs","2005-02-27","Padang"
"alfanarrasuli","1995-01-09","Makassar"
"agusmuktirem","1979-04-23","Bogor"
"MoistMovies","1998-08-23","Bogor"
"farleym-19442","1985-06-13","Malang"
"dunnypop","1977-09-15","Palembang"
"dellever9","1988-05-03","Surabaya"
"cordelialeite","1986-09-26","Surabaya"
"blitters","1993-04-19","Jakarta"
"jerichoad","2006-08-09","Jakarta"
"tkdlifemagazine","1987-11-23","Batam"
"nicholasgeranio","1977-01-17","Malang"
"Leofwine_draca","1987-02-05","Medan"
"poltaxmaniac","1971-08-07","Bekasi"
"rosepratiwi","1990-07-10","Bekasi"
"wanderreich","1979-03-28","Malang"
"hanawahyunita","1994-05-08","Jakarta"
"donipurnomo","2001-03-23","Malang"
"ansirahka","1994-09-02","Palembang"
"novitarahma-84467","1989-06-28","Bogor"
"hammy012","1991-09-15","Malang"
"jctouquet","1974-07-22","Denpasar"
"yogoahmad","2000-12-17","Makassar"
"rahmanita-12828","1985-11-01","Jakarta"
"dawnjr","1981-07-28","Depok"
"abhisheksharmaak","1989-01-28","Jakarta"
"kenpachi-83543","1999-06-05","Bekasi"
"lizma-02967","1995-09-18","Padang"
"tylerrosin","1981-02-18","Surabaya"
"haningdriyojatmiko","1975-10-12","Padang"
"mrwildgoose","1990-01-09","Depok"
"vin_skyline69","1982-02-27","Yogyakarta"
"linearattack","1991-11-17","Yogyakarta"
"nrymcwjq","1984-03-27","Jakarta"
"Nazhifahc","2003-09-03","Bekasi"
"dspratomo","1988-11-07","Jakarta"
"vi-nino","1993-01-03","Makassar"
"IceCharon","2002-10-08","Bandung"
"bachtiarsukmawati","1983-08-27","Tangerang"
"nottfreyja","1977-02-01","Pekanbaru"
"oi_ivan_oi","1976-04-22","Medan"
"geng-52937","1995-05-18","Bogor"
"GautiK-1","1991-12-22","Makassar"
"supreedav","1987-08-13","Jakarta"
"BrotherLouieMT","1977-07-01","Bandung"
"KennethW-91","2007-08-27","Depok"
"imdb-ikysmoviedatabase","1982-02-16","Jakarta"
"Miputra","1983-04-04","Bogor"
"yannigk","1968-09-23","Padang"
"MoviesFan-since1995","1995-01-06","Jakarta"
"EsfahanF","1987-12-15","Jakarta"
"stevenemesis","1999-10-11","Bekasi"
"yourassistanthelennaa","1997-09-02","Bandung"
"oonyeka-54670","1990-01-17","Balikpapan"
"deflickrd","2000-07-26","Depok"
"DwiA-2","2001-09-09","Bandung"
"OniFR","1994-11-28","Medan"
"historianblues","1968-08-08","Yogyakarta"
"elisellenn","1997-06-08","Pekanbaru"
"markryanmiller-62622","1990-07-01","Palembang"
"hancodoxs","1984-11-06","Medan"
"xnicofingerx","1986-11-20","Jakarta"
"candidreviews-in","1978-04-22","Padang"
"marioadinata","1998-10-28","Jakarta"
"ribittoredfox","1990-03-20","Bekasi"
"carryyanaya","1999-06-12","Medan"
"Manpreet_S","1987-06-06","Depok"
"mahardikaitokid","1983-01-04","Surabaya"
"EwinkWinkY","1974-05-06","Makassar"
"maliksigns","1978-04-08","Denpasar"
"rish2006","1983-03-09","Jakarta"
"scaryfilm2","1995-04-20","Medan"
"aretinagpavan","1978-11-16","Tangerang"
"scrapforscrap","1983-07-28","Palembang"
"MrBenzene33","1983-09-19","Semarang"
"mekarsarirotii","2002-10-18","Bogor"
"CiciliaA","2007-09-17","Pekanbaru"
"R3aperCr3w","1982-09-27","Jakarta"
"namstonk","1985-11-07","Padang"
"gabriel_sanchez","1996-01-14","Surabaya"
"m-george-86633","1997-07-06","Tangerang"
"ops-52535","1998-09-11","Balikpapan"
"tjpierce-45675","1998-01-16","Surabaya"
"asphyxion_","1979-07-25","Balikpapan"
"tomkudo","1989-09-27","Bekasi"
"matellyr","1992-04-02","Jakarta"
"the_prince_ers","1980-06-05","Jakarta"
"shafawatinadia","1988-01-08","Tangerang"
"spragueeli","1991-02-15","Surabaya"
"thesonicrobotnic","1978-08-17","Pekanbaru"
"awamovie","1995-04-13","Denpasar"
"tauraq","1993-10-22","Padang"
"DrieS-30","1980-07-09","Batam"
"robert-b-norby","1982-09-27","Tangerang"
"Sir_AmirSyarif","2000-07-16","Bekasi"
"adjieindrawan","1996-01-10","Semarang"
"johnfanning-53228","1989-07-20","Surabaya"
"sunisafuji","1981-07-19","Yogyakarta"
"fordnowenjoy","1985-01-22","Bogor"
"dommercaldi","2002-06-06","Jakarta"
"duaneinglesglasscock","1989-02-28","Batam"
"tombode-94917","1987-06-10","Batam"
"groovyuniverse","1980-07-17","Jakarta"
"Ikaraye","1990-07-17","Jakarta"
"Fella_shibby","1992-09-02","Yogyakarta"
"dheniakurnia","1994-09-23","Jakarta"
"Fa-640","1997-09-03","Jakarta"
"mrdanielkanewilliams","1987-08-21","Depok"
"clarasefta","1990-11-07","Bogor"
"charissap-4","1991-11-22","Depok"
"reinaldowilliam818","1976-10-24","Makassar"
"friscalvionit","2003-03-26","Batam"
"emir-adenaury","1974-02-28","Jakarta"
"GoMovie789012","1985-08-04","Jakarta"
"nicmenow-182-549391","1979-07-28","Tangerang"
"dollarvictim","1993-02-25","Jakarta"
"yeslisaja","1994-02-25","Surabaya"
"andromon","1999-06-22","Solo"
"Crescent11","1993-03-09","Bandung"
"Horror_Flick_Fanatic","1984-05-25","Padang"
"x-win","1984-06-28","Palembang"
"kanifuker-84708","1994-09-12","Balikpapan"
"ryukikazuto","1994-11-21","Bogor"
"aipsun","1993-07-12","Palembang"
"akeemi_t","1990-09-08","Jakarta"
"masagusridwanfebriyan","1991-06-22","Jakarta"
"chong_an","1977-04-15","Surabaya"
"n-47024","1977-02-11","Bekasi"
"naufalasiki","2004-05-26","Jakarta"
"mohdhelmiali","1989-02-23","Makassar"
"rahmdanti","2001-09-14","Jakarta"
"jon-22643","1995-01-07","Makassar"
"hesaadanu","1988-10-10","Surabaya"
"glennfarly","1980-04-04","Depok"
"yohanespaskah","1973-09-03","Bandung"
"khusbuhannan-97713","1999-10-05","Denpasar"
"test_bug-06455","1986-06-11","Padang"
"AryanA-616","2002-09-24","Bekasi"
"NijazBaBs","1996-12-19","Jakarta"
"alsyahdanrayyan","1986-03-10","Makassar"
"monibhebhe","1990-09-21","Jakarta"
"Zahra-92","1999-02-18","Tangerang"
"jerryson_e","2001-04-19","Surabaya"
"jared-25331","1999-02-15","Surabaya"
"asda-man","1976-06-26","Tangerang"
"claudio_carvalho","1993-12-26","Depok"
"Mr-Player_Noob","1987-08-27","Semarang"
"aamilsyed","1985-04-23","Bekasi"
"abulekediana","1982-08-07","Tangerang"
"trashgang","1977-03-27","Jakarta"
"ppatdelisio","1988-01-27","Batam"
"aryawibitomo","1978-06-03","Palembang"
"lored-56116","1993-02-10","Surabaya"
"Kirannath-5","2006-04-23","Depok"
"black_deadg","1988-05-20","Surabaya"
"sambuelalvito","1985-03-09","Palembang"
"fntstcplnt","1985-05-12","Semarang"
"garethg-73116","1985-08-01","Depok"
"AnupK-276","1999-11-05","Tangerang"
"rafieaulia","1985-03-04","Makassar"
"arums-3","1983-08-05","Surabaya"
"dhyani-53172","1993-12-24","Bekasi"
"vikenoshi","1980-04-17","Padang"
"ranggadps","1990-06-28","Surabaya"
"NiP-24","1996-07-07","Bandung"
"gierandy","1974-11-12","Yogyakarta"
"FinnTalks","1990-07-04","Jakarta"
"odhot-odhot","1996-11-28","Jakarta"
"aliashere","1986-02-16","Surabaya"
"witra_as","1977-09-10","Makassar"
"aninditaadikaputri","1993-10-17","Jakarta"
"azkaelfaatih","1997-12-02","Bogor"
"raimisyazwan","1999-04-05","Bandung"
"tawreatharva","1988-12-24","Surabaya"
"kethek-kuwalik","1996-03-07","Jakarta"
"ivanotang","1979-11-28","Surabaya"
"RezaK-614","2007-05-09","Jakarta"
"gnolihz","1979-04-16","Pekanbaru"
"robsiregar","1998-06-05","Tangerang"
"rainhardjohan08","1992-04-06","Medan"
"Loqoe","1975-10-10","Pekanbaru"
"vinaythakur-39463","1995-07-04","Batam"
"tberez","1985-04-17","Makassar"
"MichelleA-4396","1998-08-19","Balikpapan"
"inesttaufik","1984-04-07","Semarang"
"puiiiyeeeee","1985-02-20","Medan"
"herusyofuan","1976-10-27","Jakarta"
"observer320","1989-01-14","Solo"
"wesley-717","1989-05-06","Pekanbaru"
"krisnadexter","1979-09-27","Depok"
"DukeEman","1994-02-05","Balikpapan"
"Chromatozies-Dzakwan","2002-11-09","Yogyakarta"
"109YearsOld","1986-05-05","Jakarta"
"kumar_delish","1987-04-09","Bandung"
"AziziOthmanMY","1994-09-05","Bogor"
"THE-BEACON-OF-MOVIES-RAFA","1979-07-13","Makassar"
"moviebuffchick","1998-08-13","Malang"
"vitinhaoriginal","1995-01-25","Bogor"
"ruhsuzazrail","2003-09-03","Batam"
"bobyarsianto","1993-01-01","Palembang"
"isantistao","1984-02-14","Depok"
"thedarriushunt","1992-04-14","Semarang"
"Armin_Nikkhah_Shirazi","1993-05-16","Surabaya"
"khanfourhad","2003-10-18","Bogor"
"FaranovaR","2007-06-01","Jakarta"
"daryopeek","1975-02-12","Bandung"
"nainaiaraaa","2006-06-10","Semarang"
"zenhuwmank","1981-04-11","Surabaya"
"nonotwipz","1987-05-09","Yogyakarta"
"nick-sultana","1996-10-25","Bandung"
"moritz-j-stoerle","1991-01-26","Depok"
"Blue_desert1980","2000-02-02","Makassar"
"prasetiabagas","1988-11-27","Medan"
"UniqAct","1981-04-11","Surabaya"
"willyseko","1989-09-15","Padang"
"WenO-52","1985-12-09","Depok"
"ravi1512","1975-09-25","Bandung"
"eddie_baggins","1972-08-09","Solo"
"NafisH-1","1988-05-18","Malang"
"pisslur","1980-11-20","Malang"
"dara_wulan","2006-05-15","Bandung"
"panta-4","1989-12-27","Palembang"
"ringsangbordoloi","1984-04-13","Medan"
"kurnianto_hartung","1998-09-22","Surabaya"
"imasidiartha","1985-10-12","Pekanbaru"
"superatlit","1979-05-24","Medan"
"Raden_Erlangga","2001-09-09","Batam"
"jul31975","1997-09-08","Bandung"
"andrelinking","1977-11-12","Pekanbaru"
"noedubrulle","2001-12-21","Tangerang"
"cynthia_amandhaa","1990-07-18","Surabaya"
"punky-751-642454","1983-10-07","Denpasar"
"sagir-khan","1999-09-08","Bekasi"
"skizofenianero","2000-05-09","Bekasi"
"TdSmth5","1983-07-26","Jakarta"
"noshimigoshi","2006-09-15","Jakarta"
"rannamuhamad","1976-01-27","Jakarta"
"andy-oh-efff","1990-03-22","Pekanbaru"
"boybergamo","2001-01-16","Tangerang"
"TheOneThatYouWanted","1975-06-16","Bandung"
"ChristopherLewisWheeler","2000-08-02","Jakarta"
"septiandhifa","1996-01-11","Depok"
"zainnuri","1997-04-26","Malang"
"aryaputrah","1995-01-22","Jakarta"
"syabila-96653","1990-10-25","Medan"
"richardwworkman","1983-05-19","Tangerang"
"casamiadesigner","1993-07-14","Medan"
"predatorfocus","1986-06-27","Malang"
"ErinaF-5","1998-09-17","Bandung"
"mariogamer2000","1975-05-05","Palembang"
"WhiteArrays","1991-12-06","Batam"
"bryantxzhan","2001-02-26","Malang"
"bjornrhein","1981-09-20","Bandung"
"tanudirejaa","1993-06-09","Surabaya"
"gittagittab","1978-03-17","Depok"
"HafizhMaulana21","1981-02-06","Denpasar"
"paulus-37602","1985-12-16","Malang"
"mrda1981","1980-10-10","Surabaya"
"GSP_the_Moviegoer","1971-12-13","Semarang"
"nbaj-78215","1987-11-18","Tangerang"
"vua-barb","1973-08-10","Medan"
"feryantt","1994-01-16","Jakarta"
"lavasecosebas","1989-11-07","Bandung"
"innahtaufik","1984-02-23","Bekasi"
"jeev7882","1975-11-20","Medan"
"msnjisu","1993-09-02","Bandung"
"arungeorge13","1983-01-01","Padang"
"nicohauptbraingames","1981-06-04","Malang"
"audi_capricorn","1999-04-03","Pekanbaru"
"dimasfajarsatriautama","1997-07-28","Batam"
"SitiS-02","1991-06-09","Bandung"
"irvan-salahudin","1982-05-21","Pekanbaru"
"amiragypsophilla","1979-01-15","Bekasi"
"marton_fekete-feher","1981-02-27","Batam"
"lesdoup-52666","1980-07-22","Bandung"
"martindope","1998-10-24","Solo"
"randyfernanda","1995-09-19","Palembang"
"pawhite-96846","1973-11-16","Jakarta"
"PutneyTrope","1979-10-18","Denpasar"
"koeandre","2000-02-25","Malang"
"srilankafood","1978-05-14","Semarang"
"Moreme_NB","1976-03-18","Surabaya"
"GiraffeDoor","2004-10-27","Denpasar"
"infernalaffairs1980","1982-07-02","Pekanbaru"
"growns_up","1993-12-02","Medan"
"azriantoblog","1980-06-24","Padang"
"chursyheli","1996-12-15","Jakarta"
"carjack-51900","1991-04-21","Jakarta"
"divaarmedio","2006-08-19","Palembang"
"AJx91","1978-10-02","Solo"
"oliverschofield","1981-01-20","Pekanbaru"
"bboygringo","2000-03-11","Bogor"
"Marcello_Rafiado_Herman","2002-05-03","Bogor"
"ReviF-02","2001-12-28","Surabaya"
"MNMp-9","2003-08-02","Bandung"
"fachriyousa14","2006-03-09","Bandung"
"megseyo","2003-08-23","Yogyakarta"
"juniorc-47421","1979-04-28","Batam"
"feanggita","1997-02-11","Medan"
"willychen-34281","1990-03-02","Balikpapan"
"rino_item","1976-02-27","Jakarta"
"taniahamayun-38670","1979-07-07","Jakarta"
"shantial","1984-01-22","Batam"
"narasaantosoo","1993-12-18","Jakarta"
"ryolusky13","1977-06-27","Yogyakarta"
"radyaevan","1998-03-06","Yogyakarta"
"cintapuisi-87342","1976-11-06","Surabaya"
"cafemanado","1996-07-24","Pekanbaru"
"binsartunggul","1998-11-22","Bandung"
"minorysutenja","2000-07-13","Jakarta"
"The_creator2010","1968-06-09","Surabaya"
"frans_xavier","1987-07-15","Pekanbaru"
"nicholls_les","1993-07-15","Jakarta"
"khoirulf-9","1994-01-15","Tangerang"
"ivanhalimzz","1990-10-10","Solo"
"tjiongmamad","1997-10-15","Bekasi"
"tomgillespie2002","1974-10-27","Medan"
"RHZlubis","1995-10-19","Pekanbaru"
"StupendousVibesMan","1977-10-08","Jakarta"
"igkesatuaja","1992-09-12","Surabaya"
"Platypuschow","1996-01-13","Balikpapan"
"A_Different_Drummer","1976-07-04","Bekasi"
"kang_hans","1982-09-20","Jakarta"
"adzisona","1980-06-19","Palembang"
"Lotsfantasy","1999-09-17","Surabaya"
"leopoldfrank-1","1987-12-07","Malang"
"delightful-life","1974-04-19","Batam"
"bowotrahutomo","1990-06-02","Jakarta"
"telokamfred","1976-02-24","Jakarta"
"xpics","1997-03-21","Jakarta"
"saeiddorrani","1988-04-26","Depok"
"HotTakesAndMilkshakes","1977-07-23","Surabaya"
"budisantosojari","1988-12-02","Pekanbaru"
"MichaelNontonMulu","1997-06-25","Palembang"
"LilaN-76","2007-06-04","Balikpapan"
"rockypingale","1998-05-15","Bekasi"
"andiamonddust","1983-01-07","Palembang"
"aamirnair","1988-07-06","Surabaya"
"hgag-97808","2000-02-25","Makassar"
"susieboone","1995-10-19","Yogyakarta"
"raymondsternadel","1999-12-11","Jakarta"
"yosafatpanthas","1984-02-14","Depok"
"bodcctv","1997-11-28","Yogyakarta"
"norfahmizam","1996-11-27","Malang"
"buiduct-95630","1994-01-19","Balikpapan"
"ariefhome","1976-03-08","Tangerang"
"atharmiyukucing","1985-09-14","Bandung"
"statikflux","1983-03-18","Surabaya"
"Fi_Viell","1981-09-01","Denpasar"
"sclivdpro","1977-09-04","Bandung"
"sadman_sakibayon","1981-07-04","Bogor"
"Ansango","1988-08-19","Makassar"
"richarddeananderson-57786","1982-08-07","Semarang"
"chinggaybsanchez","1979-11-12","Bekasi"
"roy-wijaya24","1996-07-16","Semarang"
"yudi-houseofbuns","1996-02-21","Malang"
"aminfitranto","1990-04-01","Jakarta"
"qwereena","1990-02-16","Jakarta"
"Alania_K","1992-03-27","Denpasar"
"descendintodespairband","1989-11-14","Bekasi"
"mehtachintan-14254","1999-10-03","Solo"
"DandyBoy20","1989-01-26","Tangerang"
"durianmontong","1993-04-08","Jakarta"
"nizam-739","1992-04-14","Semarang"
"helloworldb","1988-07-26","Jakarta"
"FazlinaN","1995-12-27","Batam"
"wwwranga","1976-07-12","Semarang"
"dinda-19181","1983-06-21","Pekanbaru"
"naufalnabilp","2004-02-01","Surabaya"
"rumahtjantik","1984-07-12","Medan"
"StephenChains","1982-06-15","Depok"
"accelroce-62068","1988-06-06","Surabaya"
"misonic-1","1989-08-08","Makassar"
"rinosurya","1970-01-26","Depok"
"imdbfan-6544736967","2006-02-09","Palembang"
"dwisyahputramuhammadilham","1979-04-15","Jakarta"
"pinn-89223","1996-07-09","Denpasar"
"pbatrisyiaazra","2002-08-23","Surabaya"
"robygiantoro","1992-10-14","Jakarta"
"xirozall","1978-12-11","Bandung"
"0U","1996-06-04","Bandung"
"Dan-3968","1984-06-16","Semarang"
"Excaliose","1980-08-02","Jakarta"
"Khamellia","1982-02-24","Jakarta"
"fahmislurr","1993-11-14","Depok"
"imdbfan-1597027303","2007-12-02","Denpasar"
"nicholassantoso","1998-02-08","Palembang"
"syaffi_irsyad","1988-03-15","Surabaya"
"aleenawibisono","1999-01-01","Semarang"
"portalespirita","1975-02-17","Jakarta"
"jrmoviemaniac","1988-09-27","Surabaya"
"atusnie","1981-03-20","Depok"
"JeKidz","1996-01-03","Bandung"
"dhoparu","1994-06-13","Denpasar"
"dzakihamadah","1988-09-21","Denpasar"
"andra_","2000-10-12","Bekasi"
"keenatarigan","1987-09-16","Tangerang"
"S1rr34l","1986-03-14","Surabaya"
"tristanmuntilan","1994-07-26","Jakarta"
"ShabrinaN-8","2000-10-26","Jakarta"
"Howling_at_the_Moon_Reviews","1986-02-26","Tangerang"
"cadillac20","1987-12-20","Makassar"
"tonyred1996","1984-11-20","Semarang"
"Aswinning_11","1985-03-19","Semarang"
"stevanusbudiono","1974-06-17","Surabaya"
"nzswanny","1987-06-11","Malang"
"yonasjou","1981-09-18","Jakarta"
"stevenaguerrero","2006-07-22","Jakarta"
"vince.smith","1995-05-05","Makassar"
"maisarahms","2002-12-22","Bandung"
"AR_Zidane","1996-12-21","Jakarta"
"ASuiGeneris","1996-12-11","Makassar"
"CounterS-5","2001-09-28","Tangerang"
"binhosan","1974-02-13","Palembang"
"adesunandar","1973-01-04","Jakarta"
"alleyamaisarah","1987-11-06","Bandung"
"doddi-336-276497","1967-06-21","Denpasar"
"d-48816-57149","1988-03-04","Solo"
"firam-5","1998-05-21","Bandung"
"Holt344","1997-08-27","Malang"
"prasetyaketut","1983-01-04","Semarang"
"cymogene","1984-06-26","Jakarta"
"Reno_57","1976-09-06","Bogor"
"mariscka-60994","1998-05-22","Solo"
"TKDLion8","1972-05-26","Medan"
"imaadd05","1994-05-19","Bogor"
"annisasafanta","1974-12-08","Bekasi"
"av-spam","1990-07-11","Pekanbaru"
"DwiN-25","1988-06-24","Tangerang"
"JJett131313","1992-11-22","Jakarta"
"InaHaz","2007-08-18","Pekanbaru"
"fahmis-0","2001-07-06","Yogyakarta"
"opticuscro","1997-06-04","Medan"
"chinmanhong","1992-04-09","Batam"
"joshspidy_07","1991-06-18","Pekanbaru"
"alteregoadamseth","2004-03-27","Jakarta"
"revan_pecroz","1986-01-02","Jakarta"
"daniel-harjanto","1978-07-01","Pekanbaru"
"Santo-28422","2004-04-12","Bekasi"
"orcinusorcha","1982-07-24","Pekanbaru"
"deezaky","1996-08-08","Yogyakarta"
"ndylim","1973-06-24","Surabaya"
"kaijame","1981-08-22","Depok"
"hoffmanj7691","1969-04-10","Jakarta"
"michelliaghassani","1983-09-02","Tangerang"
"meuthiaiskaryna","1992-12-07","Bogor"
"lanierbear","1989-08-16","Medan"
"halimsugiarto","2004-05-11","Jakarta"
"Desert_buddy","1981-03-19","Bekasi"
"Boba_Fett1138","1979-08-15","Solo"
"qxcpjrh","2000-07-13","Padang"
"jenowardoyo","1998-02-21","Batam"
"soeroyosien","2002-03-23","Bekasi"
"MargaretW-46","1996-01-03","Surabaya"
"ario-34119","1979-11-13","Malang"
"tempepedesmanis","1987-07-15","Yogyakarta"
"angat-78469","1990-08-17","Malang"
"whenselfiegoeswrong","1989-05-13","Semarang"
"frydfairy","1999-07-09","Semarang"
"gsajuti","1995-11-14","Medan"
"dissident320","1992-12-18","Palembang"
"rifqidwiaristya","1993-08-01","Semarang"
"marceledward","1994-11-19","Depok"
"rgr-rider","1998-01-17","Jakarta"
"gogames","1998-06-16","Yogyakarta"
"hellraiser7","1975-06-17","Jakarta"
"SyamRawk","1987-01-21","Bandung"
"sitih-571","1980-02-25","Makassar"
"sand_itbif","1988-10-23","Yogyakarta"
"sirtogu","1988-09-12","Jakarta"
"abunazzir","1986-08-13","Bandung"
"mimirei","1981-03-03","Denpasar"
"sophaljonesy","1987-04-15","Jakarta"
"deysiengliana","1982-10-23","Yogyakarta"
"michaelchandler45","1974-12-28","Bandung"
